Program,ess_identifier,Contract ID,Site Code,Site Description,ESA Code,ESA Name,State,specialist_site_type_code
DMS,3221224609,0212829J,AD01,AimBig Employment CASINO,4RIC,Northern NSW,NSW,AALL
ESS,7921703109,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,
ESS,505800007,0212886G,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL
DMS,7258672109,0212825E,MM77,AimBig Employment MELBOURNE,4YAR,Northern Victoria,VIC,MUSK
DMS,2102651003,0212793B,FR58,AimBig Employment NERANG,4GOC,QLD South and West,QLD,
ESS,16341000,0212886G,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL
DMS,3004856109,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,
ESS,2758271709,0212879H,ML07,AimBig Employment MITCHELTON,4NOB,QLD North,QLD,AALL
ESS,1414120,0212884E,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,
DMS,8141895209,0212793B,N687,AimBig Employment BURLEIGH HEADS,4GOC,QLD South and West,QLD,MENH
ESS,6297083003,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,
DMS,8532926209,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,MENH
DMS,783206309,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL
ESS,7129842009,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL
DMS,6841759709,0212838K,AB61,AimBig Employment CHINCHILLA,4WDO,QLD South and West,QLD,
DMS,765763909,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MUSK
DMS,4355759909,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MUSK
ESS,1931319509,0212886G,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL
DMS,6222444119,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,MENH
DMS,2447970,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,
DMS,435270,0212798G,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,
DMS,846850,0212817E,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,
