Contract_ID,Site_Name,specialist_site_type_code,Num_13_full,Den_13_full,Num_26_full,Den_26_full,Num_26_path,Den_26_path,Num_26_wrkast,Den_26_wrkast,Num_52_full,Den_52_full,Num_52_path,Den_52_path
0212814B,AimBig Employment GUNNEDAH,AALL,0,13,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212814B,AimBig Employment TAMWORTH,AALL,0,42,3.0,51.0,0.0,6.0,0.0,0.0,2.0,44.0,0.0,0.0
0212815C,AimBig Employment BROADMEADOW,AALL,0,52,2.0,10.0,1.0,2.0,0.0,0.0,5.0,13.0,0.0,0.0
0212816D,AimBig Employment SINGLETON,AALL,0,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0212817E,AimBig Employment BROADMEADOWS,AALL,0,26,3.0,19.0,1.0,6.0,0.0,0.0,4.0,20.0,0.0,0.0
0212817E,AimBig Employment CRAIGIEBURN,AALL,0,43,4.0,28.0,1.0,7.0,0.0,0.0,3.0,19.0,0.0,0.0
0212817E,AimBig Employment GLENROY,AALL,0,6,0.0,16.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0
0212817E,AimBig Employment MOONEE PONDS,AALL,0,118,4.0,124.0,1.0,22.0,0.0,0.0,3.0,99.0,0.0,0.0
0212818F,AimBig Employment FRANKSTON,MENH,0,79,5.0,109.0,0.0,13.0,0.0,0.0,3.0,101.0,0.0,0.0
0212818F,AimBig Employment Pty Ltd CAPEL SOUND,MENH,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212819G,AimBig Employment FRANKSTON,MUSK,0,23,0.0,24.0,1.0,7.0,0.0,0.0,1.0,17.0,0.0,0.0
0212820K,AimBig Employment EPPING,MENH,0,33,1.0,17.0,1.0,10.0,0.0,0.0,3.0,19.0,0.0,0.0
0212820K,AimBig Employment HEIDELBERG,MENH,0,11,0.0,32.0,0.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0
0212820K,AimBig Employment Pty Ltd RESERVOIR,MENH,0,4,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212820K,AimBig Employment Pty Ltd THOMASTOWN,MENH,0,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212821A,AimBig Employment EPPING,MUSK,0,19,1.0,9.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0
0212821A,AimBig Employment HEIDELBERG,MUSK,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212821A,AimBig Employment Pty Ltd PRESTON,MUSK,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212821A,AimBig Employment Pty Ltd RESERVOIR,MUSK,0,7,0.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
0212821A,AimBig Employment Pty Ltd THOMASTOWN,MUSK,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0212822B,AimBig Employment NEWPORT,MENH,0,0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0
0212822B,AimBig Employment Pty Ltd ST ALBANS,MENH,0,5,1.0,33.0,0.0,4.0,0.0,0.0,1.0,33.0,0.0,0.0
