,Program,JOB_SEEKER_ID,CONTRACT_ID,SITE_CODE,SITE_DESCRIPTION,ESA_CODE,ESA Name,State,SPECIALIST_SITE_TYPE_CODE,Num_13_full,Den_13_full,Num_52,Den_52
1985,ESS,988483509,0212899A,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL,0.0,0.0,,
1986,DMS,451850709,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MENH,,,,
1987,DMS,69931909,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL,,,,
1988,DMS,5284024909,0212823C,MN17,AimBig Employment NEWPORT,4WES,Western Victoria,VIC,MUSK,,,,
1989,DMS,10982660,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MENH,1.0,1.0,,
1990,DMS,7946404609,0212862K,AB91,AimBig Employment CORIO,4GEE,South Victoria,VIC,AALL,,,,
1991,ESS,3855724709,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL,,,,
1992,DMS,11757410,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,,,,
1993,DMS,3027210,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,,,,
1994,ESS,8126968509,0212881B,AE61,AimBig Employment WYONG,4CEC,Central Coast NSW,NSW,AALL,1.0,1.0,,
1995,ESS,2297659809,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL,0.0,8.0,,
1996,DMS,3809130,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MUSK,0.0,0.0,,
1997,DMS,17743040,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH,0.0,0.0,,
1998,DMS,8468617709,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,,,,
1999,ESS,664161509,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
2000,DMS,492880,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2001,ESS,1097206809,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,AALL,1.0,1.0,,
2002,DMS,9277285709,0212828H,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL,,,,
2003,DMS,1575537709,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH,1.0,1.0,,
2004,DMS,13105280,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,,,,
2005,DMS,9698685709,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MENH,0.0,8.0,,
2006,DMS,9628220006,0212861J,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,AALL,1.0,1.0,,
2007,DMS,7214639309,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,,,,
2008,ESS,3919130309,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
2009,DMS,5120681019,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK,,,,
2010,DMS,8481692109,0212855K,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,,,,
2011,DMS,4196120003,0212844H,AB01,AimBig Employment CABRAMATTA,4FAI,Western Sydney,NSW,AALL,,,,
2012,ESS,5280580,0212886G,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,AALL,,,,
2013,DMS,377947709,0212813A,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,0.0,0.0,,
2014,DMS,5598012709,0212817E,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL,,,,
2015,ESS,18361290,0212886G,YH37,AimBig Employment GLENROY,4CAL,Northern Victoria,VIC,AALL,,,,
2016,DMS,4191123119,0212795D,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,AALL,,,,
2017,ESS,2357821003,0212881B,AE71,AimBig Employment WOY WOY,4CEC,Central Coast NSW,NSW,AALL,,,,
2018,DMS,5559546007,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MENH,0.0,8.0,,
2019,DMS,7638005209,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,MENH,,,,
2020,DMS,2112490709,0212850F,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL,0.0,0.0,,
2021,DMS,7678593009,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK,,,,
2022,DMS,3226208909,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,1.0,2.0,,
2023,DMS,9088407709,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2024,DMS,2924421003,0212850F,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL,0.0,8.0,,
2025,DMS,6671411209,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MENH,1.0,1.0,,
2026,DMS,5892292809,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
2027,DMS,4084096309,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH,,,,
2028,DMS,9533192209,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,,,,
2029,DMS,5474140003,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,1.0,1.0,,
2030,DMS,3030954109,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH,,,,
2031,DMS,10022740,0212800G,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,MENH,,,,
2032,DMS,3967054007,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,0.0,8.0,,
2033,DMS,9980925509,0212804K,MN97,AimBig Employment AITKENVALE,4TOW,QLD North,QLD,MENH,,,,
2034,DMS,4525530,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MUSK,,,,
2035,ESS,1681130,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,0.0,8.0,,
2036,DMS,3293688019,0212798G,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,MENH,,,,
2037,DMS,5743346509,0212814B,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,AALL,1.0,1.0,,
2038,DMS,9874941019,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,MENH,,,,
2039,DMS,365133809,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MENH,0.0,8.0,,
2040,DMS,7543490005,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MUSK,,,,
2041,DMS,9779284309,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MUSK,,,,
2042,ESS,4686606609,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,,,,
2043,DMS,4282380008,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,,,,
2044,DMS,1428890509,0212804K,MN97,AimBig Employment AITKENVALE,4TOW,QLD North,QLD,MENH,1.0,1.0,,
2045,DMS,1641083019,0212815C,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,AALL,,,,
2046,DMS,5467550509,0212857B,ML77,AimBig Employment WOLLONGONG,4WOL,South East Sydney,NSW,MUSK,,,,
2047,DMS,11581320,0212855K,NW67,AimBig Employment ROCKDALE,4SGS,South East Sydney,NSW,AALL,,,,
2048,DMS,1074464004,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,MENH,,,,
2049,DMS,5394531709,0212861J,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,AALL,0.0,8.0,,
2050,DMS,7460670006,0212861J,AC51,AimBig Employment HOBART,4HOB,Tasmania,TAS,AALL,,,,
2051,DMS,7157070,0212795D,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL,0.0,0.0,,
2052,DMS,8775258809,0212849B,AA11,AimBig Employment INGLEBURN,4MAC,South Western Sydney,NSW,AALL,0.0,8.0,,
2053,DMS,4251150,0212858C,AC01,AimBig Employment MARYBOROUGH,4BEN,Regional Victoria,VIC,AALL,,,,
2054,DMS,9223141409,0212822B,YA97,AimBig Employment Pty Ltd ST ALBANS,4WES,Western Victoria,VIC,MENH,0.0,0.0,,
2055,ESS,8526453003,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL,,,,
2056,ESS,2781250809,0212904D,A981,AimBig Employment HURSTVILLE,4SGS,South East Sydney,NSW,AALL,,,,
2057,DMS,5118074009,0212840D,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,MUSK,,,,
2058,DMS,2971370005,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MUSK,0.0,0.0,,
2059,DMS,2287070003,0212829J,AD01,AimBig Employment CASINO,4RIC,Northern NSW,NSW,AALL,0.0,0.0,,
2060,ESS,1773225709,0212898K,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,AALL,1.0,1.0,,
2061,DMS,873513209,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2062,DMS,6874057009,0212813A,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,,,,
2063,ESS,5422900009,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,,,,
2064,DMS,1562333509,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH,,,,
2065,DMS,1610291119,0212817E,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,AALL,0.0,0.0,,
2066,DMS,12663390,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,0.0,0.0,,
2067,DMS,2808489909,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,0.0,0.0,,
2068,ESS,259080809,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
2069,ESS,1078951709,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,0.0,8.0,,
2070,ESS,7042030909,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
2071,ESS,17972880,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,1.0,8.0,,
2072,ESS,16986430,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
2073,ESS,4221670,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,0.0,8.0,,
2074,DMS,2277811809,0212872A,ML17,AimBig Employment ORANGE,4PAT,Northern NSW,NSW,MENH,,,,
2075,DMS,2372120109,0212839K,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MENH,0.0,0.0,,
2076,DMS,3001000007,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH,,,,
2077,DMS,1736389409,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2078,DMS,1372346609,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2079,DMS,11733520,0212838K,AB51,AimBig Employment DALBY,4WDO,QLD South and West,QLD,AALL,,,,
2080,DMS,7710501109,0212869F,ML37,AimBig Employment DEVONPORT,4WNW,Tasmania,TAS,MUSK,,,,
2081,DMS,5815491909,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,MUSK,0.0,3.0,,
2082,ESS,2158248409,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,,,,
2083,DMS,851094709,0212823C,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MUSK,0.0,0.0,,
2084,ESS,2801936409,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,0.0,0.0,,
2085,DMS,12109350,0212796E,MO47,AimBig Employment WOOLLOONGABBA,4SOB,QLD South and West,QLD,MENH,0.0,8.0,,
2086,DMS,9690101809,0212795D,ML07,AimBig Employment MITCHELTON,4NOB,QLD North,QLD,AALL,0.0,8.0,,
2087,DMS,6794321003,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
2088,DMS,4249176003,0212828H,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL,,,,
2089,DMS,9657338809,0212850F,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL,1.0,1.0,,
2090,DMS,4651215209,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MUSK,1.0,1.0,,
2091,ESS,2878234003,0212889K,AD31,AimBig Employment GLEN INNES,4NEE,Northern NSW,NSW,AALL,0.0,0.0,,
2092,ESS,8140171209,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2093,ESS,314416709,0212893F,AC31,Aimbig Employment LAUNCESTON,4LAU,Tasmania,TAS,AALL,,,,
2094,DMS,3361384019,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,0.0,8.0,,
2095,DMS,1686815019,0212850F,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL,0.0,0.0,,
2096,DMS,881914409,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,0.0,8.0,,
2097,DMS,1276334109,0212796E,MO57,AimBig Employment UPPER MOUNT GRAVATT,4SOB,QLD South and West,QLD,MENH,,,,
2098,DMS,692619019,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MUSK,0.0,8.0,,
2099,DMS,6388583309,0212840D,MM37,AimBig Employment BANKSTOWN,4CAB,South East Sydney,NSW,MUSK,,,,
2100,DMS,4011460709,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH,,,,
2101,ESS,3618841004,0212900K,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
2102,ESS,654728909,0212882C,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,0.0,0.0,,
2103,DMS,8824171609,0212823C,MN17,AimBig Employment NEWPORT,4WES,Western Victoria,VIC,MUSK,,,,
2104,DMS,8390343019,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MENH,,,,
2105,DMS,341783019,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2106,DMS,2464401009,0212826F,AD51,AimBig Employment COFFS HARBOUR,4COH,Northern NSW,NSW,AALL,0.0,0.0,,
2107,DMS,5608679109,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,0.0,3.0,,
2108,ESS,5363330,0212898K,AB11,AimBig Employment PARRAMATTA,4CWS,Northern Sydney,NSW,AALL,,,,
2109,ESS,1688068709,0212882C,AE51,AimBig Employment MAITLAND,4HUT,Newcastle/Hunter,NSW,AALL,1.0,1.0,,
2110,DMS,5108707809,0212861J,AC61,AimBig Employment GLENORCHY,4HOB,Tasmania,TAS,AALL,0.0,8.0,,
2111,ESS,18134810,0212886G,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,AALL,0.0,0.0,,
2112,ESS,3084336609,0212882C,AE41,AimBig Employment CESSNOCK,4HUT,Newcastle/Hunter,NSW,AALL,1.0,1.0,,
2113,DMS,690320006,0212861J,AC71,AimBig Employment ROSNY PARK,4HOB,Tasmania,TAS,AALL,,,,
2114,ESS,3341376019,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL,,,,
2115,DMS,9075291109,0212848A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,,,,
2116,ESS,4439656209,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL,,,,
2117,DMS,11041010,0212875D,MO37,AimBig Employment CALOUNDRA,4SUC,QLD North,QLD,MUSK,,,,
2118,DMS,6324130609,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,,,,
2119,DMS,146171004,0212803K,MO07,AimBig Employment MACKAY,4MAK,QLD North,QLD,MUSK,,,,
2120,ESS,5589245009,0212879H,NX17,AimBig Employment FORTITUDE VALLEY,4NOB,QLD North,QLD,AALL,,,,
2121,DMS,3090600001,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,0.0,8.0,,
2122,DMS,7747251209,0212823C,YA87,AimBig Employment Pty Ltd MELTON,4WES,Western Victoria,VIC,MUSK,0.0,8.0,,
2123,DMS,7564307019,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MENH,,,,
2124,DMS,3654743409,0212841E,AB21,AimBig Employment BAULKHAM HILLS,4CWS,Northern Sydney,NSW,AALL,,,,
2125,ESS,3300845003,0212889K,FX88,AimBig Employment Pty Ltd. ARMIDALE,4NEE,Northern NSW,NSW,AALL,,,,
2126,DMS,2245631003,0212854K,ML87,AimBig Employment MOUNT DRUITT,4OWS,South Western Sydney,NSW,MUSK,,,,
2127,DMS,587220709,0212795D,MK87,AimBig Employment CHERMSIDE,4NOB,QLD North,QLD,AALL,0.0,0.0,,
2128,ESS,5688937109,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,,,,
2129,DMS,1627554004,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
2130,DMS,1773030,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,,,,
2131,ESS,966877009,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,1.0,1.0,,
2132,DMS,4823020,0212820K,MN27,AimBig Employment HEIDELBERG,4PLE,Western Victoria,VIC,MENH,0.0,0.0,,
2133,DMS,14219100,0212845J,AA51,AimBig Employment SURRY HILLS,4INS,Eastern Sydney,NSW,AALL,0.0,0.0,,
2134,ESS,276706003,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,,,,
2135,ESS,9704135019,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL,,,,
2136,DMS,7958320309,0212845J,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,,,,
2137,ESS,7162721003,0212881B,MK47,AimBig Employment THE ENTRANCE,4CEC,Central Coast NSW,NSW,AALL,0.0,8.0,,
2138,DMS,2102257109,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK,,,,
2139,DMS,5692680,0212844H,AA91,AimBig Employment FAIRFIELD,4FAI,Western Sydney,NSW,AALL,1.0,1.0,,
2140,DMS,93152009,0212858C,AC21,AimBig Employment BENDIGO,4BEN,Regional Victoria,VIC,AALL,1.0,1.0,,
2141,ESS,6866753009,0212879H,MK77,AimBig Employment TOOWONG,4NOB,QLD North,QLD,AALL,0.0,0.0,,
2142,DMS,9378315709,0212800G,MO17,AimBig Employment ROCKHAMPTON CITY,4CAP,QLD North,QLD,MENH,,,,
2143,DMS,1321408309,0212850F,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL,,,,
2144,ESS,2866083909,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,0.0,0.0,,
2145,DMS,572540004,0212795D,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,,,,
2146,ESS,9244000009,0212889K,AD21,AimBig Employment INVERELL,4NEE,Northern NSW,NSW,AALL,,,,
2147,ESS,9211333003,0212902B,AA21,AimBig Employment CAMPBELLTOWN,4MAC,South Western Sydney,NSW,AALL,0.0,8.0,,
2148,DMS,641621709,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,MENH,,,,
2149,DMS,3790112809,0212796E,MO57,AimBig Employment UPPER MOUNT GRAVATT,4SOB,QLD South and West,QLD,MENH,1.0,1.0,,
2150,DMS,7674627409,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,,,,
2151,ESS,6944618009,0212894G,AC21,AimBig Employment BENDIGO,4BEN,Regional Victoria,VIC,AALL,,,,
2152,ESS,9741144119,0212904D,A991,AimBig Employment MIRANDA,4SGS,South East Sydney,NSW,AALL,,,,
2153,DMS,8729782309,0212823C,MN17,AimBig Employment NEWPORT,4WES,Western Victoria,VIC,MUSK,,,,
2154,DMS,4619837909,0212846K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MENH,,,,
2155,ESS,1692408809,0212886G,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,AALL,,,,
2156,DMS,2279612909,0212823C,MN17,AimBig Employment NEWPORT,4WES,Western Victoria,VIC,MUSK,,,,
2157,DMS,6285036109,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,,,,
2158,DMS,88219009,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH,,,,
2159,DMS,5366226209,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,0.0,0.0,,
2160,DMS,4902900001,0212830B,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,AALL,,,,
2161,ESS,7314896609,0212886G,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
2162,DMS,6413116109,0212789F,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MENH,,,,
2163,DMS,5670586309,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,,,,
2164,ESS,6195891709,0212881B,AE81,AimBig Employment KANWAL,4CEC,Central Coast NSW,NSW,AALL,0.0,0.0,,
2165,DMS,2087408809,0212822B,MN17,AimBig Employment NEWPORT,4WES,Western Victoria,VIC,MENH,1.0,1.0,,
2166,ESS,4390247003,0212903C,AA01,AimBig Employment PENRITH,4NEP,South Western Sydney,NSW,AALL,,,,
2167,DMS,8443012109,0212822B,YA77,AimBig Employment Pty Ltd HOPPERS CROSSING,4WES,Western Victoria,VIC,MENH,,,,
2168,DMS,8186320007,0212822B,MM87,AimBig Employment WERRIBEE,4WES,Western Victoria,VIC,MENH,,,,
2169,DMS,932701119,0212822B,YA77,AimBig Employment Pty Ltd HOPPERS CROSSING,4WES,Western Victoria,VIC,MENH,,,,
2170,DMS,9345126007,0212817E,AD81,AimBig Employment MOONEE PONDS,4CAL,Northern Victoria,VIC,AALL,,,,
2171,ESS,18311770,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,,,,
2172,DMS,7656356209,0212814B,AE31,AimBig Employment TAMWORTH,4KEE,Northern NSW,NSW,AALL,,,,
2173,DMS,18158760,0212859D,ML67,AimBig Employment BALLARAT CENTRAL,4EUR,Regional Victoria,VIC,MENH,,,,
2174,ESS,17833480,0212901A,AA41,AimBig Employment LIVERPOOL,4LIV,Western Sydney,NSW,AALL,0.0,0.0,,
2175,ESS,347998509,0212894G,AC01,AimBig Employment MARYBOROUGH,4BEN,Regional Victoria,VIC,AALL,,,,
2176,ESS,4258725909,0212900K,AA71,AimBig Employment MARRICKVILLE,4INS,Eastern Sydney,NSW,AALL,,,,
2177,DMS,6445409509,0212799H,MO27,AimBig Employment CAIRNS CITY,4CAI,QLD North,QLD,MUSK,,,,
2178,ESS,7746750,0212898K,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,1.0,1.0,,
2179,DMS,7013746809,0212845J,AA61,AimBig Employment DARLINGHURST,4INS,Eastern Sydney,NSW,AALL,,,,
2180,ESS,17742560,0212904D,NW67,AimBig Employment ROCKDALE,4SGS,South East Sydney,NSW,AALL,,,,
2181,DMS,3839710008,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK,,,,
2182,DMS,5666620,0212796E,MO57,AimBig Employment UPPER MOUNT GRAVATT,4SOB,QLD South and West,QLD,MENH,,,,
2183,DMS,6827150309,0212823C,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MUSK,,,,
2184,ESS,5964770,0212900K,NX07,AimBig Employment SYDNEY,4INS,Eastern Sydney,NSW,AALL,,,,
2185,ESS,5102038809,0212881B,MK57,AimBig Employment ETTALONG BEACH,4CEC,Central Coast NSW,NSW,AALL,0.0,1.0,,
2186,DMS,215549709,0212790K,MO87,AimBig Employment PROSPECT,4EAA,South Australia,SA,MUSK,,,,
2187,DMS,1945473309,0212847K,MM07,AimBig Employment BURWOOD,4INW,South East Sydney,NSW,MUSK,,,,
2188,DMS,1651195119,0212818F,MN47,AimBig Employment FRANKSTON,4PEN,South Victoria,VIC,MENH,0.0,8.0,,
2189,DMS,1319879709,0212822B,MM97,AimBig Employment TAYLORS LAKES,4WES,Western Victoria,VIC,MENH,,,,
2190,DMS,11637190,0212858C,AC21,AimBig Employment BENDIGO,4BEN,Regional Victoria,VIC,AALL,1.0,1.0,,
2191,DMS,860087019,0212867D,ML47,AimBig Employment MILDURA,4SUN,South Australia,VIC,MUSK,,,,
2192,DMS,8088876309,0212817E,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,AALL,,,,
2193,DMS,6755064909,0212839K,MM27,AimBig Employment CAMPSIE,4CAB,South East Sydney,NSW,MENH,0.0,0.0,,
2194,DMS,16066690,0212817E,AD71,AimBig Employment CRAIGIEBURN,4CAL,Northern Victoria,VIC,AALL,,,,
2195,DMS,9332160909,0212820K,MN37,AimBig Employment EPPING,4PLE,Western Victoria,VIC,MENH,0.0,0.0,,
2196,DMS,9920290,0212841E,AB31,AimBig Employment AUBURN,4CWS,Northern Sydney,NSW,AALL,1.0,1.0,,
2197,DMS,8531140909,0212804K,MN97,AimBig Employment AITKENVALE,4TOW,QLD North,QLD,MENH,,,,
2198,DMS,3745960,0212815C,AE11,AimBig Employment BROADMEADOW,4LOH,Newcastle/Hunter,NSW,AALL,0.0,0.0,,
2199,DMS,630739709,0212791K,MO77,AimBig Employment MILE END,4WEA,South Australia,SA,MENH,0.0,8.0,,
2200,ESS,18131020,0212900K,AA81,AimBig Employment LEICHHARDT,4INS,Eastern Sydney,NSW,AALL,0.0,8.0,,
2201,DMS,3261211003,0212858C,AC21,AimBig Employment BENDIGO,4BEN,Regional Victoria,VIC,AALL,0.0,0.0,,
2202,DMS,117720008,0212830B,AC91,AimBig Employment BERRIMAH,4DAR,Northern Territory,NT,AALL,,,,
2203,ESS,494685007,0212886G,AD91,AimBig Employment BROADMEADOWS,4CAL,Northern Victoria,VIC,AALL,,,,
2204,ESS,653830,0212879H,MK97,AimBig Employment NORTH LAKES,4NOB,QLD North,QLD,AALL,1.0,1.0,,
2205,DMS,7719720509,0212832D,MM67,AimBig Employment ROCKINGHAM,4CWM,Western Australia,WA,MUSK,,,,
