,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg
51,0212821A,AimBig Employment Pty Ltd THOMASTOWN,MUSK,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.6666666666666665,4.0,0.08695652173913043,0.0
52,0212822B,AimBig Employment NEWPORT,MENH,100.0,11.11111111111111,0.0,0.5,0.0,0.5,50.0,22.22222222222222,0.5,0.5,25.0,0.5,0.0,0.5,0.5,11.11111111111111,0.0,0.5,0.0,1.0,0.0,1.0,4.0,2.0,0.0,4.0,1.9349999999999998,0.0
53,0212822B,AimBig Employment Pty Ltd BACCHUS MARSH,MENH,100.0,0.5,0.5,0.5,0.5,0.5,50.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,0.08695652173913043,0.0
54,0212822B,AimBig Employment Pty Ltd HOPPERS CROSSING,MENH,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,4.0,0.020202020202020204,0.0,4.0,0.08695652173913043,0.0
55,0212822B,AimBig Employment Pty Ltd MELTON,MENH,100.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.08333333333333333,0.0
56,0212822B,AimBig Employment Pty Ltd ST ALBANS,MENH,44.44444444444444,3.0303030303030303,0.0,0.5,3.0303030303030303,0.5,33.33333333333333,9.090909090909092,0.5,0.5,6.0606060606060606,0.5,3.0303030303030303,0.5,0.5,3.0303030303030303,0.0,0.3333333333333333,0.0,1.0,0.5,1.0,0.07843137254902145,0.0,4.0,4.0,0.0,0.09184171958964342
57,0212822B,AimBig Employment SUNSHINE,MENH,50.0,5.88235294117647,0.0,0.5,5.88235294117647,0.5,50.0,11.76470588235294,0.5,0.5,29.411764705882355,0.5,5.88235294117647,0.5,0.5,5.88235294117647,0.0,0.5,0.0,1.0,0.19999999999999998,1.0,0.0,4.0,1.5999999999999996,4.0,0.08444444444444442,0.0
58,0212822B,AimBig Employment TAYLORS LAKES,MENH,100.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,200.0,1.0,1.0,1.0,1.0,3.96,4.0,0.0,0.92,4.0,0.0
59,0212822B,AimBig Employment WERRIBEE,MENH,7.6923076923076925,0.0,0.0,0.5,2.4390243902439024,0.5,15.384615384615385,0.5,0.5,0.5,7.317073170731707,0.5,2.4390243902439024,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.33333333333333337,1.0,0.0,2.3999999999999995,4.0,4.0,0.0,0.425531914893617
60,0212823C,AimBig Employment NEWPORT,MUSK,21.428571428571427,27.27272727272727,14.285714285714285,0.5,11.11111111111111,0.5,14.285714285714285,27.27272727272727,14.285714285714285,0.5,11.11111111111111,0.5,11.11111111111111,0.5,0.5,27.27272727272727,14.285714285714285,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.3333333333333333,1.5968063872255487,4.0,0.0
61,0212823C,AimBig Employment Pty Ltd MELTON,MUSK,50.0,7.6923076923076925,0.0,0.5,0.0,0.5,33.33333333333333,7.6923076923076925,33.33333333333333,0.5,18.75,0.5,0.0,0.5,0.5,7.6923076923076925,0.0,1.0,0.0,1.0,0.0,1.0,2.000000000000001,4.0,0.0,4.0,1.365,0.0
62,0212823C,AimBig Employment Pty Ltd ST ALBANS,MUSK,100.0,100.0,0.5,0.5,0.5,0.5,33.33333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,200.0,1.0,1.0,1.0,1.0,0.020000000000000007,4.0,0.0,0.92,4.0,0.0
63,0212823C,AimBig Employment SUNSHINE,MUSK,100.0,11.11111111111111,0.0,0.5,11.11111111111111,0.5,50.0,11.11111111111111,0.5,0.5,11.11111111111111,0.5,11.11111111111111,0.5,0.5,11.11111111111111,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.12590799031477015
64,0212823C,AimBig Employment TAYLORS LAKES,MUSK,55.55555555555556,22.58064516129032,9.090909090909092,0.5,4.0,0.5,11.11111111111111,9.67741935483871,0.5,0.5,24.0,0.5,4.0,0.5,0.5,22.58064516129032,9.090909090909092,2.333333333333333,18.181818181818183,1.0,0.16666666666666666,1.0,0.7533573534228628,4.0,0.0,2.839900603478878,4.0,0.0
65,0212823C,AimBig Employment WERRIBEE,MUSK,55.55555555555556,17.24137931034483,0.0,0.5,11.11111111111111,15.384615384615385,55.55555555555556,13.793103448275861,0.5,0.5,11.11111111111111,7.6923076923076925,11.11111111111111,15.384615384615385,0.5,17.24137931034483,0.0,1.2500000000000002,0.0,1.0,1.0,2.0,0.0,2.5,4.0,3.0314769975786926,0.0,4.0
66,0212825E,AimBig Employment MELBOURNE,MUSK,76.92307692307693,30.434782608695656,0.0,0.5,7.6923076923076925,0.5,69.23076923076923,17.391304347826086,50.0,0.5,26.923076923076923,0.5,7.6923076923076925,0.5,0.5,30.434782608695656,0.0,1.7500000000000002,0.0,1.0,0.2857142857142857,1.0,0.0,4.0,0.4261501210653744,2.791103358046228,4.0,0.0
67,0212826F,AimBig Employment COFFS HARBOUR,AALL,23.076923076923077,14.285714285714285,0.0,0.5,4.0,0.5,19.230769230769234,7.142857142857142,33.33333333333333,0.5,12.0,0.5,4.0,0.5,0.5,14.285714285714285,0.0,2.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,0.29629629629629667,4.0,2.158,0.0
68,0212826F,AimBig Employment NAMBUCCA HEADS,AALL,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.08333333333333333,0.0
69,0212828H,AimBig Employment GLEN INNES,AALL,100.0,11.11111111111111,0.0,0.5,0.0,0.5,100.0,0.5,100.0,0.5,0.5,0.5,0.0,0.5,0.5,11.11111111111111,0.0,22.22222222222222,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,1.9349999999999998,0.0
70,0212828H,AimBig Employment INVERELL,AALL,40.0,100.0,0.5,0.5,100.0,0.5,40.0,50.0,0.5,0.5,300.0,0.5,100.0,0.5,0.5,100.0,0.5,2.0,1.0,1.0,0.3333333333333333,1.0,0.0,4.0,0.44444444444444436,0.0,4.0,3.948051948051948
71,0212829J,AimBig Employment CASINO,AALL,100.0,11.11111111111111,0.0,0.5,0.0,0.5,50.0,16.666666666666664,0.5,0.5,16.666666666666664,0.5,0.0,0.5,0.5,11.11111111111111,0.0,0.6666666666666667,0.0,1.0,0.0,1.0,4.0,2.6799999999999997,0.0,4.0,1.9349999999999998,0.0
72,0212829J,AimBig Employment LISMORE,AALL,28.57142857142857,4.0,0.0,0.5,0.0,0.5,28.57142857142857,4.0,33.33333333333333,0.5,4.166666666666666,0.5,0.0,0.5,0.5,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.75,0.0
73,0212830B,AimBig Employment BERRIMAH,AALL,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.6666666666666665,4.0,0.08695652173913043,0.0
74,0212831C,AimBig Employment ROCKINGHAM,MENH,27.27272727272727,5.88235294117647,0.0,0.5,11.11111111111111,0.5,22.727272727272727,11.76470588235294,0.5,0.5,22.22222222222222,0.5,11.11111111111111,0.5,0.5,5.88235294117647,0.0,0.5,0.0,1.0,0.5,1.0,0.0,4.0,4.0,4.0,0.0,1.2758229284903517
75,0212832D,AimBig Employment ROCKINGHAM,MUSK,18.181818181818183,0.0,0.0,0.5,0.0,0.5,9.090909090909092,6.25,33.33333333333333,0.5,6.25,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.08333333333333333,0.0
76,0212833E,AimBig Employment JOONDALUP,MENH,100.0,11.11111111111111,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,11.11111111111111,0.0,22.22222222222222,0.0,1.0,0.0,1.0,4.0,0.4466331658291457,0.0,4.0,1.9349999999999998,0.0
77,0212833E,AimBig Employment OSBORNE PARK,MENH,100.0,100.0,0.5,0.5,0.5,0.5,25.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,100.0,0.5,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.92,4.0,0.0
78,0212836H,AimBig Employment DEAKIN,MUSK,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.6666666666666665,4.0,0.08695652173913043,0.0
79,0212836H,AimBig Employment PHILLIP,MUSK,100.0,0.5,0.5,0.5,0.5,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,0.08695652173913043,0.0
