,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code
0,367191609,0,2,AimBig Employment NORTH LAKES,0212879H,AALL
0,3112638109,0,1,AimBig Employment BERRIMAH,0212891D,AALL
0,845241509,0,3,AimBig Employment HURSTVILLE,0212904D,AALL
0,9975270109,0,1,AimBig Employment LIVERPOOL,0212848A,AALL
0,273046019,0,4,AimBig Employment SURRY HILLS,0212900K,AALL
0,9743848009,0,4,AimBig Employment EPPING,0212821A,MUSK
0,7337327003,0,4,AimBig Employment SYDNEY,0212900K,AALL
0,4345745019,0,2,AimBig Employment DALBY,0212897K,AALL
0,968675004,0,4,AimBig Employment GLEN INNES,0212889K,AALL
0,2220648709,0,2,AimBig Employment WOOLLOONGABBA,0212796E,(blank)
0,4812498009,0,1,AimBig Employment TRARALGON,0212877F,(blank)
0,8097462019,0,2,AimBig Employment KANWAL,0212881B,AALL
0,4042032409,0,1,AimBig Employment PARRAMATTA,0212898K,AALL
0,9548135209,0,2,AimBig Employment FAIRFIELD,0212844H,AALL
0,2662906909,0,4,AimBig Employment BERRIMAH,0212830B,AALL
0,337954019,0,2,AimBig Employment HEIDELBERG,0212821A,MUSK
0,1916350,0,3,AimBig Employment DEAKIN,0212835G,(blank)
0,627631003,0,5,AimBig Employment CABRAMATTA,0212844H,AALL
0,5732990119,0,2,AimBig Employment PROSPECT,0212789F,(blank)
0,270010004,0,2,AimBig Employment CALOUNDRA,0212875D,MUSK
0,747750,0,6,AimBig Employment UPPER MOUNT GRAVATT,0212797F,(blank)
0,8600978709,0,8,AimBig Employment BANKSTOWN,0212839K,MENH
0,8732584119,0,8,AimBig Employment BANKSTOWN,0212839K,MENH
0,1284681019,0,8,AimBig Employment BURWOOD,0212846K,MENH
0,964887909,0,1,AimBig Employment TAYLORS LAKES,0212823C,MUSK
0,1289641019,0,2,AimBig Employment TOOWONG,0212879H,AALL
0,9646145109,0,2,AimBig Employment PROSPECT,0212789F,(blank)
0,106002007,0,8,AimBig Employment BURWOOD,0212847K,MUSK
0,6522401008,0,0,AimBig Employment JOONDALUP,0212833E,MENH
0,1159611019,0,8,AimBig Employment MARRICKVILLE,0212900K,AALL
0,4120774809,0,0,AimBig Employment HYDE PARK,0212804K,MENH
0,4092714003,0,2,AimBig Employment LEICHHARDT,0212845J,AALL
0,539642409,0,5,AimBig Employment CABRAMATTA,0212844H,AALL
0,2087580,0,0,AimBig Employment MAITLAND,0212882C,AALL
0,5342867003,0,0,AimBig Employment TAMWORTH,0212814B,AALL
0,8031545003,0,0,AimBig Employment KANWAL,0212812K,AALL
0,844938003,0,0,AimBig Employment MAITLAND,0212882C,AALL
0,9804065609,0,0,AimBig Employment MAITLAND,0212882C,AALL
0,2992457009,0,2,AimBig Employment LEICHHARDT,0212845J,AALL
0,393639809,0,1,AimBig Employment BURWOOD,0212846K,MENH
0,3887060003,0,1,AimBig Employment ETTALONG BEACH,0212812K,AALL
0,724370,0,3,AimBig Employment INGLEBURN,0212902B,AALL
0,3174727019,0,4,AimBig Employment NORTH LAKES,0212795D,AALL
0,2884022003,0,8,AimBig Employment BANKSTOWN,0212840D,MUSK
0,5797293609,0,3,AimBig Employment AUBURN,0212898K,AALL
0,6472570609,0,0,AimBig Employment SALE,0212876E,(blank)
0,650830005,0,0,AimBig Employment WANGURI,0212830B,AALL
0,4802357019,0,1,AimBig Employment ETTALONG BEACH,0212881B,AALL
0,256012005,0,4,AimBig Employment GOSFORD,0212812K,AALL
0,4478330001,0,1,AimBig Employment HYDE PARK,0212804K,MENH
0,8578744509,0,2,AimBig Employment HYDE PARK,0212804K,MENH
0,3734572809,0,1,AimBig Employment EPPING,0212820K,MENH
0,1262831809,0,4,AimBig Employment ROCKHAMPTON CITY,0212800G,MENH
0,1954899909,0,5,AimBig Employment BURWOOD,0212847K,MUSK
0,4424497909,0,2,AimBig Employment SURRY HILLS,0212900K,AALL
0,6544791909,0,1,AimBig Employment FRANKSTON,0212819G,MUSK
0,1324923003,0,0,AimBig Employment LEICHHARDT,0212900K,AALL
0,3916377609,0,2,AimBig Employment MOUNT DRUITT,0212853J,MENH
0,774010,0,2,AimBig Employment PENRITH,0212850F,AALL
0,2496860,0,0,AimBig Employment WANGURI,,
0,6298907309,0,3,AimBig Employment DALBY,0212838K,AALL
