,CONTRACT_ID,SITE_CODE,SPECIALTY_CD,SITE_NAME,PERFORMANCE_MEASURES,ALL_ORG_NAT_AVG,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,13_full_avg
4669,0212897K,AB71,AALL,AimBig Employment MILES,26 Week Full Outcomes,21.5,0.0,0.0,0.0,21.5,0.0,0.0
4670,0212838K,AB71,AALL,AimBig Employment MILES,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4671,0212838K,AB41,AALL,AimBig Employment ROMA,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4672,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4673,0212838K,AB71,AALL,AimBig Employment MILES,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4674,0212838K,AB41,AALL,AimBig Employment ROMA,52 Week Full Outcomes,15.7,15.7,0.0,0.0,0.0,0.0,0.0
4676,0212838K,AB41,AALL,AimBig Employment ROMA,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4677,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4678,0212838K,AB51,AALL,AimBig Employment DALBY,Ongoing Support,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4679,0212838K,AB41,AALL,AimBig Employment ROMA,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4680,0212897K,AB41,AALL,AimBig Employment ROMA,52 Week Pathway Outcomes,1.3,0.0,1.3,0.0,0.0,0.0,0.0
4681,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,52 Week Pathway Outcomes,1.3,0.0,1.3,0.0,0.0,0.0,0.0
4682,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4683,0212897K,AB61,AALL,AimBig Employment CHINCHILLA,Ongoing Support,81.4,0.0,0.0,0.0,0.0,0.0,0.0
4684,0212897K,AB41,AALL,AimBig Employment ROMA,Ongoing Support,81.4,0.0,0.0,0.0,0.0,0.0,0.0
4686,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4687,0212838K,AB41,AALL,AimBig Employment ROMA,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4689,0212838K,AB71,AALL,AimBig Employment MILES,52 Week Pathway Outcomes,1.1,0.0,1.1,0.0,0.0,0.0,0.0
4692,0212838K,AB51,AALL,AimBig Employment DALBY,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4695,0212838K,AB71,AALL,AimBig Employment MILES,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4696,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4697,0212838K,AB41,AALL,AimBig Employment ROMA,Work Assist,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4698,0212838K,AB41,AALL,AimBig Employment ROMA,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4699,0212838K,AB71,AALL,AimBig Employment MILES,4 Week Outcomes,19.5,0.0,0.0,0.0,0.0,0.0,0.0
4700,0212838K,AB71,AALL,AimBig Employment MILES,13 Week Full Outcomes,24.0,0.0,0.0,0.0,0.0,0.0,24.0
4701,0212838K,AB51,AALL,AimBig Employment DALBY,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4702,0212838K,AB71,AALL,AimBig Employment MILES,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4703,0212838K,AB71,AALL,AimBig Employment MILES,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4704,0212838K,AB71,AALL,AimBig Employment MILES,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4705,0212838K,AB41,AALL,AimBig Employment ROMA,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4706,0212838K,AB41,AALL,AimBig Employment ROMA,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4707,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Bonus Outcomes/Work Assist,71.9,0.0,0.0,71.9,0.0,0.0,0.0
4708,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
4709,0212838K,AB61,AALL,AimBig Employment CHINCHILLA,26 Week Pathway Outcomes,1.2,0.0,0.0,0.0,0.0,1.2,0.0
4710,0212838K,AB51,AALL,AimBig Employment DALBY,26 Week Bonus Outcomes,73.7,0.0,0.0,0.0,0.0,0.0,0.0
