,index,Contract_ID,Site_Name,specialist_site_type_code,actual_13_full,actual_26_full,actual_26_path,actual_26_wrkast,actual_52_full,actual_52_path,exPer_13_full,exPer_26_full,exPer_26_path,exPer_26_wrkast,exPer_52_full,exPer_52_path,52_full_avg,52_path_avg,26_wrkast_avg,26_full_avg,26_path_avg,26_full,26_path,26_wrkast,52_full,52_path,13_full,26_comb,52_comb,13_full_avg,26_comb_avg,52_comb_avg,overall_perScore,overall_perScore_avg,star_rating_perc,star_rating
35,35,0212817E,AimBig Employment CRAIGIEBURN,AALL,38.095238095238095,42.857142857142854,0.0,0.5,0.0,0.5,19.047619047619047,35.714285714285715,100.0,0.5,100.0,0.5,0.0,0.5,0.5,42.857142857142854,0.0,1.2,0.0,1.0,0.0,1.0,0.76,1.828,0.0,0.5047970479704798,1.828,0.0,2.588,2.33279704797048,10.939783735218004,3.0
36,36,0212817E,AimBig Employment GLENROY,AALL,33.33333333333333,0.0,0.0,0.5,0.0,0.5,11.11111111111111,25.0,0.5,0.5,12.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.912,0.0,0.0,0.912,0.03808333333333333,0.0,0.912,0.9500833333333334,-4.008420314007545,3.0
37,37,0212817E,AimBig Employment MOONEE PONDS,AALL,17.5,4.761904761904762,5.88235294117647,0.5,5.263157894736842,0.5,15.0,3.571428571428571,11.76470588235294,0.5,11.842105263157894,0.5,5.263157894736842,0.5,0.5,4.761904761904762,5.88235294117647,1.3333333333333335,0.5,1.0,0.4444444444444444,1.0,0.0,1.828,0.19038076152304603,0.912,0.5219955555555555,0.0,2.018380761523046,1.4339955555555557,40.75223271811947,5.0
38,38,0212817E,AimBig Employment Pty Ltd SUNBURY,AALL,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.912,0.009232323232323234,0.0,0.912,0.03973913043478261,0.0,0.9212323232323233,0.9517391304347826,-3.205374900212723,3.0
39,39,0212818F,AimBig Employment FRANKSTON,MENH,10.638297872340425,9.090909090909092,11.11111111111111,0.5,4.761904761904762,0.5,6.382978723404255,15.909090909090908,11.11111111111111,0.5,14.285714285714285,0.5,4.761904761904762,0.5,0.5,9.090909090909092,11.11111111111111,0.5714285714285715,1.0,1.0,0.33333333333333337,1.0,0.245822102425876,1.828,0.0,0.912,1.5105052631578948,0.0,2.073822102425876,2.4225052631578947,-14.393494455301504,3.0
40,40,0212818F,AimBig Employment Pty Ltd CAPEL SOUND,MENH,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.912,0.03808333333333333,0.0,0.0,0.9500833333333334,-100.0,1.0
41,41,0212819G,AimBig Employment FRANKSTON,MUSK,14.285714285714285,11.11111111111111,20.0,0.5,20.0,0.5,14.285714285714285,22.22222222222222,0.5,0.5,20.0,0.5,20.0,0.5,0.5,11.11111111111111,20.0,0.5,40.0,1.0,1.0,1.0,0.0,1.828,0.028148148148148144,0.3142118863049096,1.828,0.0,1.856148148148148,2.1422118863049096,-13.353662165052747,3.0
42,42,0212820K,AimBig Employment EPPING,MENH,30.0,22.727272727272727,10.0,0.5,15.0,0.5,20.0,22.727272727272727,10.0,0.5,20.0,0.5,15.0,0.5,0.5,22.727272727272727,10.0,1.0,1.0,1.0,0.75,1.0,0.0,1.828,0.18999999999999997,0.42344747533372035,1.828,0.0,2.0180000000000002,2.2514474753337206,-10.368772884613604,3.0
43,43,0212820K,AimBig Employment HEIDELBERG,MENH,50.0,27.27272727272727,0.0,0.5,5.88235294117647,0.5,33.33333333333333,36.36363636363637,0.5,0.5,23.52941176470588,0.5,5.88235294117647,0.5,0.5,27.27272727272727,0.0,0.7499999999999999,0.0,1.0,0.25,1.0,0.4560000000000004,1.828,0.0,0.7540652273771246,1.828,0.0,2.2840000000000007,2.5820652273771247,-11.543675357880105,3.0
44,44,0212820K,AimBig Employment Pty Ltd PRESTON,MENH,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.912,0.009232323232323234,0.0,0.912,0.03973913043478261,0.0,0.9212323232323233,0.9517391304347826,-3.205374900212723,3.0
